name,SMILES,categorical,PCE_pristine(%),PCE_passivated(%),ΔPCE（%）,perovskite_type,DOI,article,
cetyltrimethylammonium chloride,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],nip,20.3,23.4,3.1,FAPbI3,DOI: 10.1016/j.scib.2021.03.018,An in-situ defect passivation through a green anti-solvent approach for high-efficiency and stable perovskite solar cells,
1H-Pyrazole-1-carboximidamide hydrochloride,C1=CN(N=C1)C(=N)N.Cl,nip,23.12,24.62,1.5,FAPbI3,DOI: 10.1002/smll.202402557,Enhancing Performance and Stability of Perovskite Solar Cells with a Novel Formamidine Group Additive,
4-sulfamoylbenzoic acid,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N,nip,22.27,23.64,1.37,FAPbI3,DOI: 10.1039/d4nr02314e,Effect of the Hammett substituent constant of para-substituted benzoic acid on the perovskite/SnO2 interface passivation in perovskite solar cells,
(3-bromopropyl)trimethoxysilane,CO[Si](CCCBr)(OC)OC,nip,19.39,23.6,4.21,FAPbI3,DOI: 10.1021/acsami.5c01522,Buried Interface Passivation of Regular Perovskite Solar Cells Using Trimethoxysilane-Based Small Molecule Materials,
"2,2,6,6-tetramethyl-1-piperidinyloxy",CC1(CCCC(N1[O])(C)C)C,nip,19.22,20.73,1.51,(FAPbI3)0.95(MAPbBr3)0.05,DOI: 10.3389/fchem.2020.00825,Radical Molecular Modulator for High-Performance Perovskite Solar Cells,
1‐hexyl‐3‐methylimidazolium iodide,CCCCCCN1C=C[N+](=C1)C.[I-],nip,17.1,20.6,3.5,FAPbI3,DOI: 10.1002/adfm.202002964,FAPbI3‐Based Perovskite Solar Cells Employing Hexyl‐Based Ionic Liquid with an Efficiency Over 20% and Excellent Long‐Term Stability,
methacrylic acid,CC(=C)C(=O)O,nip,17.63,19.55,1.92,FAPbI3,DOI: 10.1016/j.apsadv.2024.100683,Dual-functional passivation on highly-efficient air-processed FAPbI3 perovskite solar cells fabricated under high humidity without auxiliary equipment,
d-tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@H](C(=O)O)N,nip,18.18,21.55,3.37,(FA0.63MA0.26Cs0.11)PbI3-xClxBrx,DOI: 10.1021/acsami.1c13784,Enhanced Activation Energy Released by Coordination of Bifunctional Lewis Base d-Tryptophan for Highly Efficient and Stable Perovskite Solar Cells,
4-hydroxypicolinic acid,C1=CNC(=CC1=O)C(=O)O,nip,17.89,19.26,1.37,FAPbI3, DOI: 10.1002/advs.202301603,Tailoring the Interface with a Multifunctional Ligand for Highly Efficient and Stable FAPbI3 Perovskite Solar Cells and Modules,
diphenyl carbonate,C1=CC=C(C=C1)OC(=O)OC2=CC=CC=C2,nip,23.65,26.61,2.96,FAPbI3,DOI: 10.1002/adma.202517246,Dual-Mode Molecular Regulation of Perovskite Crystallization Enables Efficient and Stable FAPbI3 Solar Cells and Modules,
