Compound_CID,SMILES,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,coord_types,MolecularWeight,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,LogP,RingCount,HeteroRing,FSP3
115561182,C1CC2CN(CC2C1)C3=C(C=C(C=N3)C(=O)O)N,-0.4775976875734499,0.6111111111111112,15.740104602853368,5.969305287951849,3.0,2.0,247.298,2.0,4.0,2.0,1.5982999999999998,3.0,2.0,0.5384615384615384
44120699,C1=CC=[N+](C(=C1)N)CC(=O)C2=CC=C(C=C2)[N+](=O)[O-].[Cl-],-0.2896875380084661,0.5,12.407033161179976,0.0,3.0,2.0,293.71000000000004,1.0,4.0,4.0,-1.648599999999999,2.0,1.0,0.0769230769230769
137652,C1=C(C=C(N=C1Cl)Cl)N,-0.3985508266535068,0.6666666666666666,5.733667477162185,0.0,2.0,1.0,163.007,1.0,2.0,0.0,1.9706,1.0,1.0,0.0
89546765,CC(C)(C)OC(=O)N1C=C(C=N1)C2=NC=CC(=C2)N,-0.4421768484570557,0.5789473684210527,10.470530430962237,6.093240070938415,4.0,2.0,260.297,1.0,5.0,1.0,2.3105,2.0,2.0,0.3076923076923077
818256,C1=CC(=O)NC=C1N,-0.3975468485916021,0.5,10.717645998109392,0.0,1.0,1.0,110.116,2.0,2.0,0.0,-0.0429,1.0,1.0,0.0
353714,C1=CC(=C[N+](=C1)N)C(=O)N.[Cl-],-0.3654010093054028,0.5454545454545454,18.14070063834216,0.0,2.0,2.0,173.60299999999998,2.0,2.0,1.0,-4.209199999999999,1.0,1.0,0.0
149661154,C1CC(CCC1C2=C(C=CN=C2)N)N3CC(C3)NC(=O)CNC(=O)C4=CC=CC=C4C(F)(F)F,-0.3984068106993716,0.6176470588235294,16.367244685174846,6.176298517443475,3.0,2.0,475.51500000000016,3.0,5.0,6.0,2.9392000000000005,4.0,2.0,0.4583333333333333
67180839,C1=CC(=CC=C1C#N)C2=C3C(=NC=C2)N=C(N3)C4=CN=C(C=C4)N,-0.3837021322806009,0.5833333333333334,10.717645998109392,0.0,5.0,1.0,312.33600000000007,2.0,5.0,2.0,3.1407800000000003,4.0,3.0,0.0
177013984,CCCCOC.C1=CC(=NC=C1O)N,-0.5063393515648538,0.6428571428571429,15.57705782580294,0.0,2.0,1.0,198.266,2.0,4.0,3.0,1.8023,1.0,1.0,0.5
11173251,CC(C)N(C(C)C)C(=S)SC1=C(N=CC=C1)N,-0.3827590932782198,0.6470588235294118,10.633577208012664,0.0,3.0,1.0,269.439,1.0,4.0,3.0,3.1596,1.0,1.0,0.5
73437955,C1CN(CCN1)C2=C(C=C(C=C2)N3C4=C5C(=NC=C4C(=O)N(C3=O)CO)C=CC(=N5)C6=CN=C(C=C6)N)C(F)(F)F,-0.3837021461634319,0.5121951219512195,21.056893206859694,11.86604191564695,8.0,1.0,564.5280000000004,3.0,9.0,4.0,2.117999999999999,6.0,5.0,0.2222222222222222
