Compound_CID,SMILES,MinPartialCharge,MaxAbsPartialCharge,StdPartialCharge,ChargeRange,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,FormalCharge,Complexity,LogP,MolarRefractivity,RingCount,AromaticRing,HeteroRing,FSP3,rdkit_ok,fail_reason
115561182,C1CC2CN(CC2C1)C3=C(C=C(C=N3)C(=O)O)N,-0.4775976875734499,0.4775976875734499,0.1984269169740286,0.8144378161395035,-0.4775976875734499,0.6111111111111112,15.740104602853368,5.969305287951849,3.0,1.0,2.0,247.298,79.45,2.0,4.0,2.0,18.0,0.0,456.9266964125667,1.5982999999999998,68.65270000000002,3.0,1.0,2.0,0.5384615384615384,1,
44120699,C1=CC=[N+](C(=C1)N)CC(=O)C2=CC=C(C=C2)[N+](=O)[O-].[Cl-],-1.0,1.0,0.2732161156244072,1.2721077621774937,-0.2896875380084661,0.5,12.407033161179976,0.0,3.0,1.0,2.0,293.71000000000004,90.11,1.0,4.0,4.0,20.0,0.0,600.1903664520748,-1.648599999999999,68.47630000000001,2.0,2.0,1.0,0.0769230769230769,1,
137652,C1=C(C=C(N=C1Cl)Cl)N,-0.3985508266535068,0.3985508266535068,0.1602224022498638,0.530921622242739,-0.3985508266535068,0.6666666666666666,5.733667477162185,0.0,2.0,0.0,1.0,163.007,38.91,1.0,2.0,0.0,9.0,0.0,160.80051514850786,1.9706,38.6694,1.0,1.0,1.0,0.0,1,
89546765,CC(C)(C)OC(=O)N1C=C(C=N1)C2=NC=CC(=C2)N,-0.4421768484570557,0.4421768484570557,0.191729596505407,0.8768810137004248,-0.4421768484570557,0.5789473684210527,10.470530430962237,6.093240070938415,4.0,1.0,2.0,260.297,83.03,1.0,5.0,1.0,19.0,0.0,576.0809332526975,2.3105,71.50240000000004,2.0,2.0,2.0,0.3076923076923077,1,
818256,C1=CC(=O)NC=C1N,-0.3975468485916021,0.3975468485916021,0.2067868281998348,0.6450874954100205,-0.3975468485916021,0.5,10.717645998109392,0.0,1.0,0.0,1.0,110.116,58.88,2.0,2.0,0.0,8.0,0.0,197.22996149735155,-0.0429,31.475100000000005,1.0,1.0,1.0,0.0,1,
353714,C1=CC(=C[N+](=C1)N)C(=O)N.[Cl-],-1.0,1.0,0.342284046321976,1.2543706885819133,-0.3654010093054028,0.5454545454545454,18.14070063834216,0.0,2.0,1.0,2.0,173.60299999999998,72.99,2.0,2.0,1.0,11.0,0.0,245.97015243201017,-4.209199999999999,35.30529999999998,1.0,1.0,1.0,0.0,1,
149661154,C1CC(CCC1C2=C(C=CN=C2)N)N3CC(C3)NC(=O)CNC(=O)C4=CC=CC=C4C(F)(F)F,-0.3984068106993716,0.4166856414485445,0.1740439665256172,0.8150924521479161,-0.3984068106993716,0.6176470588235294,16.367244685174846,6.176298517443475,3.0,2.0,2.0,475.51500000000016,100.35,3.0,5.0,6.0,34.0,0.0,986.6935340453912,2.9392000000000005,120.92730000000005,4.0,2.0,2.0,0.4583333333333333,1,
67180839,C1=CC(=CC=C1C#N)C2=C3C(=NC=C2)N=C(N3)C4=CN=C(C=C4)N,-0.3837021322806009,0.3837021322806009,0.1454922085344021,0.5618983780257824,-0.3837021322806009,0.5833333333333334,10.717645998109392,0.0,5.0,0.0,1.0,312.33600000000007,104.27,2.0,5.0,2.0,24.0,0.0,1036.0928603853033,3.1407800000000003,91.6831,4.0,4.0,3.0,0.0,1,
177013984,CCCCOC.C1=CC(=NC=C1O)N,-0.5063393515648538,0.5063393515648538,0.1963742422133227,0.6398714742113737,-0.5063393515648538,0.6428571428571429,15.57705782580294,0.0,2.0,0.0,1.0,198.266,68.37,2.0,4.0,3.0,14.0,0.0,182.984848999515,1.8023,57.098200000000034,1.0,1.0,1.0,0.5,1,
11173251,CC(C)N(C(C)C)C(=S)SC1=C(N=CC=C1)N,-0.3827590932782198,0.3827590932782198,0.1410052727273437,0.5240534768074402,-0.3827590932782198,0.6470588235294118,10.633577208012664,0.0,3.0,0.0,1.0,269.439,42.150000000000006,1.0,4.0,3.0,17.0,0.0,363.3796296686227,3.1596,79.21540000000003,1.0,1.0,1.0,0.5,1,
73437955,C1CN(CCN1)C2=C(C=C(C=C2)N3C4=C5C(=NC=C4C(=O)N(C3=O)CO)C=CC(=N5)C6=CN=C(C=C6)N)C(F)(F)F,-0.3837021461634319,0.4179737098318685,0.1861172872386172,0.8016758559953004,-0.3837021461634319,0.5121951219512195,21.056893206859694,11.86604191564695,8.0,0.0,1.0,564.5280000000004,144.19,3.0,9.0,4.0,41.0,0.0,1855.7394508463933,2.117999999999999,146.8478999999999,6.0,5.0,5.0,0.2222222222222222,1,
177962456,CCOC(=O)C1CCN(CC1)CCCCCCCCCCCCNC(=O)C2=C(N=CC=C2)N,-0.465764482683119,0.465764482683119,0.1637264977660718,0.774279347067426,-0.465764482683119,0.7575757575757576,20.687228765819043,5.969305287951849,3.0,2.0,2.0,460.6630000000002,97.55,2.0,6.0,16.0,33.0,0.0,658.3708130709664,4.569700000000004,132.94960000000006,2.0,1.0,2.0,0.7307692307692307,1,
67131286,C1=CN=CC(=C1N)O.OS(=O)(=O)O,-0.5043202304469943,0.5043202304469943,0.23763587801998,0.8986667599433497,-0.5043202304469943,0.6153846153846154,10.84019487200289,10.399000581649606,2.0,0.0,1.0,208.195,133.73999999999998,4.0,5.0,0.0,13.0,0.0,311.055989195052,-0.2834000000000001,44.491600000000005,1.0,1.0,1.0,0.0,1,
