name,SMILES,MinPartialCharge,MaxAbsPartialCharge,StdPartialCharge,ChargeRange,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,FormalCharge,Complexity,LogP,MolarRefractivity,RingCount,AromaticRing,HeteroRing,FSP3
cetyltrimethylammonium chloride,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],-1.0,1.0,0.2197879016236356,1.0779928278964177,-0.3309148190196808,0.8095238095238095,16.8900640188746,0.0,1,0,1,320.005,0.0,0,0,15,21,0,174.967556752381,3.177900000000001,93.21140000000008,0,0,0,1.0
1H-Pyrazole-1-carboximidamide hydrochloride,C1=CN(N=C1)C(=N)N.Cl,-0.3682365531964851,0.3682365531964851,0.171160789667464,0.5813312828386308,-0.3682365531964851,0.6666666666666666,5.733667477162185,0.0,4,0,1,146.581,67.69,2,2,0,9,0,167.928197133931,0.04647,36.7871,1,1,1,0.0
4-sulfamoylbenzoic acid,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N,-0.4776392430101912,0.4776392430101912,0.2074936162448621,0.8128188878939356,-0.4776392430101912,0.6923076923076923,5.106527394840706,5.969305287951849,0,1,1,201.20299999999995,97.46,2,3,2,13,0,399.8564618723235,0.0322,44.7745,1,1,0,0.0
(3-bromopropyl)trimethoxysilane,CO[Si](CCCBr)(OC)OC,-0.3768250967464755,0.4996683868928538,0.2428631890400409,0.8764934836393294,-0.3768250967464755,0.4545454545454545,13.278015078357752,8.80443515703238,0,0,0,243.173,27.69,0,3,6,11,0,71.77443751081735,1.6495,49.99900000000003,0,0,0,1.0
"2,2,6,6-tetramethyl-1-piperidinyloxy",CC1(CCCC(N1[O])(C)C)C,-0.1439122943190925,0.1439122943190925,0.0536212040081489,0.1882359873448165,-0.1439122943190925,0.8181818181818182,0.0,0.0,1,0,1,156.249,23.14,0,1,0,11,0,126.11730005192324,2.375000000000001,44.534500000000016,1,0,1,1.0
1‐hexyl‐3‐methylimidazolium iodide,CCCCCCN1C=C[N+](=C1)C.[I-],-1.0,1.0,0.2972854806872939,1.2430288257380866,-0.2395339959546719,0.6153846153846154,23.97664012526206,0.0,2,0,1,294.17999999999995,8.809999999999999,0,0,5,13,0,207.56781608877972,-1.1030999999999975,49.75000000000004,1,1,1,0.7
methacrylic acid,CC(=C)C(=O)O,-0.4778969618559836,0.4778969618559836,0.2476649176629331,0.8080603450898094,-0.4778969618559836,0.6666666666666666,5.106527394840706,5.969305287951849,0,1,1,86.08999999999999,37.3,1,1,1,6,0,66.03910001730776,0.6471,22.449799999999996,0,0,0,0.25
d-tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@H](C(=O)O)N,-0.4800776923593587,0.4800776923593587,0.1937488834671141,0.8003946134185278,-0.4800776923593587,0.6,15.8241733929501,5.969305287951849,1,1,2,204.229,79.11,3,2,3,15,0,473.4988967851897,1.1222999999999996,57.613900000000015,2,2,1,0.1818181818181818
4-hydroxypicolinic acid,C1=CNC(=CC1=O)C(=O)O,-0.476565586586037,0.476565586586037,0.2499226575320089,0.8285008170269359,-0.476565586586037,0.4,10.090505915787915,5.969305287951849,0,1,1,139.11,70.16,2,2,1,10,0,288.9066619574484,0.0730999999999999,34.02199999999999,1,1,1,0.0
diphenyl carbonate,C1=CC=C(C=C1)OC(=O)OC2=CC=CC=C2,-0.3947188446228865,0.5189243309988207,0.2023425774435651,0.9136431756217072,-0.3947188446228865,0.8125,9.473725907600098,6.155365629538759,0,1,1,214.22,35.53,0,3,2,16,0,396.4792309615668,3.264400000000001,59.53600000000003,2,2,0,0.0
3-(2-amino-2-oxoethyl)-1-methyl-1H-imidazol-3-ium chloride,C[N+]1=CN(C=C1)CC(=O)N.[Cl-],-1.0,1.0,0.3569849443274167,1.2591838558737027,-0.3662507730513031,0.4545454545454545,18.14070063834216,0.0,2,1,2,175.61899999999997,51.9,1,1,2,11,0,227.94127869182103,-4.198099999999998,34.802399999999984,1,1,1,0.3333333333333333
N-methyl pyrrolidone,CN1CCCC1=O,-0.3457489149497736,0.3457489149497736,0.1801176184496474,0.5676224784542465,-0.3457489149497736,0.4285714285714285,4.899909730850478,0.0,0,1,1,99.133,20.31,0,1,0,7,0,82.03910001730776,0.2385999999999999,26.870999999999988,1,0,1,0.8
prolinamide,C1C[C@H](NC1)C(=O)N,-0.3683187255098152,0.3683187255098152,0.1961375930708648,0.6023767035808807,-0.3683187255098152,0.75,11.050456081168516,0.0,1,1,2,114.148,55.120000000000005,2,2,1,8,0,86.2114326716684,-0.7763000000000002,30.2191,1,0,1,0.8
Naphthylmethylammonium Iodide,CNC1=CC=CC2=CC=CC=C21.I,-0.3876198054845221,0.3876198054845221,0.1001288372382604,0.4292966796678469,-0.3876198054845221,0.7692307692307693,5.316788604006331,0.0,1,0,1,285.128,12.03,1,1,1,13,0,382.66537277547695,3.4995000000000016,68.90970000000002,2,2,0,0.0909090909090909
2-(furan-3-yl)ethanamine hydrochloride,C1=COC=C1CCN.Cl,-0.472337977485534,0.472337977485534,0.1820403335500951,0.5657848295417347,-0.472337977485534,0.7777777777777778,10.150818414215532,0.0,1,0,1,147.60500000000005,39.16,1,2,2,9,0,125.75835605579972,1.2026,38.714400000000005,1,1,1,0.3333333333333333
"2,6-pyridine dicarboxylate",C1=CC(=NC(=C1)C(=O)[O-])C(=O)[O-],-0.5431183074183069,0.5431183074183069,0.2702809915565313,0.6330880801851415,-0.5431183074183069,0.6666666666666666,19.802129157825057,0.0,1,2,2,165.10399999999996,93.15,0,5,2,12,-2,289.3151246505104,-2.1914,32.898,1,1,1,0.0
n-Butylammonium iodide,CCCCN.I,-0.3304736813706357,0.3304736813706357,0.1067470951890666,0.3227360388642155,-0.3304736813706357,1.0,5.733667477162185,0.0,1,0,1,201.051,26.02,1,1,2,6,0,7.509775004326936,1.3632,39.3774,0,0,0,1.0
Cyclohexylmethylammonium iodide,C1CCC(CC1)C[NH3+].[I-],-1.0,1.0,0.3142610448316196,1.0767891942340664,-0.3573311948973202,0.7777777777777778,29.710307602424244,0.0,1,0,1,241.116,27.64,1,0,1,9,0,51.058650025961626,-2.1873999999999976,34.33009999999998,1,0,0,1.0
Ethylammonium iodide,CCN.I,-0.3307484184390755,0.3307484184390755,0.1234196427740078,0.320172152609869,-0.3307484184390755,1.0,5.733667477162185,0.0,1,0,1,172.997,26.02,1,1,0,4,0,0.0,0.5830000000000002,30.1434,0,0,0,1.0
Guanidinium iodide,C(=N)(N)N.I,-0.3703335316561106,0.3703335316561106,0.2083051993098358,0.5528615339913754,-0.3703335316561106,0.8,11.46733495432437,0.0,3,0,1,186.984,75.89,3,1,0,5,0,23.019550008653876,-0.5434300000000001,31.516500000000008,0,0,0,0.0
