name,SMILES,MinPartialCharge,StdPartialCharge,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,FormalCharge,LogP,RingCount,HeteroRing,FSP3
cetyltrimethylammonium chloride,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],-1.0,0.2197879016236356,-0.3309148190196808,0.8095238095238095,16.8900640188746,0.0,1,0,1,320.005,0.0,0,0,15,0,3.177900000000001,0,0,1.0
1H-Pyrazole-1-carboximidamide hydrochloride,C1=CN(N=C1)C(=N)N.Cl,-0.3682365531964851,0.171160789667464,-0.3682365531964851,0.6666666666666666,5.733667477162185,0.0,4,0,1,146.581,67.69,2,2,0,0,0.04647,1,1,0.0
4-sulfamoylbenzoic acid,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N,-0.4776392430101912,0.2074936162448621,-0.4776392430101912,0.6923076923076923,5.106527394840706,5.969305287951849,0,1,1,201.20299999999995,97.46,2,3,2,0,0.0322,1,0,0.0
(3-bromopropyl)trimethoxysilane,CO[Si](CCCBr)(OC)OC,-0.3768250967464755,0.2428631890400409,-0.3768250967464755,0.4545454545454545,13.278015078357752,8.80443515703238,0,0,0,243.173,27.69,0,3,6,0,1.6495,0,0,1.0
"2,2,6,6-tetramethyl-1-piperidinyloxy",CC1(CCCC(N1[O])(C)C)C,-0.1439122943190925,0.0536212040081489,-0.1439122943190925,0.8181818181818182,0.0,0.0,1,0,1,156.249,23.14,0,1,0,0,2.375000000000001,1,1,1.0
1‐hexyl‐3‐methylimidazolium iodide,CCCCCCN1C=C[N+](=C1)C.[I-],-1.0,0.2972854806872939,-0.2395339959546719,0.6153846153846154,23.97664012526206,0.0,2,0,1,294.17999999999995,8.809999999999999,0,0,5,0,-1.1030999999999975,1,1,0.7
methacrylic acid,CC(=C)C(=O)O,-0.4778969618559836,0.2476649176629331,-0.4778969618559836,0.6666666666666666,5.106527394840706,5.969305287951849,0,1,1,86.08999999999999,37.3,1,1,1,0,0.6471,0,0,0.25
d-tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@H](C(=O)O)N,-0.4800776923593587,0.1937488834671141,-0.4800776923593587,0.6,15.8241733929501,5.969305287951849,1,1,2,204.229,79.11,3,2,3,0,1.1222999999999996,2,1,0.1818181818181818
4-hydroxypicolinic acid,C1=CNC(=CC1=O)C(=O)O,-0.476565586586037,0.2499226575320089,-0.476565586586037,0.4,10.090505915787915,5.969305287951849,0,1,1,139.11,70.16,2,2,1,0,0.0730999999999999,1,1,0.0
diphenyl carbonate,C1=CC=C(C=C1)OC(=O)OC2=CC=CC=C2,-0.3947188446228865,0.2023425774435651,-0.3947188446228865,0.8125,9.473725907600098,6.155365629538759,0,1,1,214.22,35.53,0,3,2,0,3.264400000000001,2,0,0.0
3-(2-amino-2-oxoethyl)-1-methyl-1H-imidazol-3-ium chloride,C[N+]1=CN(C=C1)CC(=O)N.[Cl-],-1.0,0.3569849443274167,-0.3662507730513031,0.4545454545454545,18.14070063834216,0.0,2,1,2,175.61899999999997,51.9,1,1,2,0,-4.198099999999998,1,1,0.3333333333333333
N-methyl pyrrolidone,CN1CCCC1=O,-0.3457489149497736,0.1801176184496474,-0.3457489149497736,0.4285714285714285,4.899909730850478,0.0,0,1,1,99.133,20.31,0,1,0,0,0.2385999999999999,1,1,0.8
prolinamide,C1C[C@H](NC1)C(=O)N,-0.3683187255098152,0.1961375930708648,-0.3683187255098152,0.75,11.050456081168516,0.0,1,1,2,114.148,55.120000000000005,2,2,1,0,-0.7763000000000002,1,1,0.8
Naphthylmethylammonium Iodide,CNC1=CC=CC2=CC=CC=C21.I,-0.3876198054845221,0.1001288372382604,-0.3876198054845221,0.7692307692307693,5.316788604006331,0.0,1,0,1,285.128,12.03,1,1,1,0,3.4995000000000016,2,0,0.0909090909090909
2-(furan-3-yl)ethanamine hydrochloride,C1=COC=C1CCN.Cl,-0.472337977485534,0.1820403335500951,-0.472337977485534,0.7777777777777778,10.150818414215532,0.0,1,0,1,147.60500000000005,39.16,1,2,2,0,1.2026,1,1,0.3333333333333333
"2,6-pyridine dicarboxylate",C1=CC(=NC(=C1)C(=O)[O-])C(=O)[O-],-0.5431183074183069,0.2702809915565313,-0.5431183074183069,0.6666666666666666,19.802129157825057,0.0,1,2,2,165.10399999999996,93.15,0,5,2,-2,-2.1914,1,1,0.0
n-Butylammonium iodide,CCCCN.I,-0.3304736813706357,0.1067470951890666,-0.3304736813706357,1.0,5.733667477162185,0.0,1,0,1,201.051,26.02,1,1,2,0,1.3632,0,0,1.0
Cyclohexylmethylammonium iodide,C1CCC(CC1)C[NH3+].[I-],-1.0,0.3142610448316196,-0.3573311948973202,0.7777777777777778,29.710307602424244,0.0,1,0,1,241.116,27.64,1,0,1,0,-2.1873999999999976,1,0,1.0
Ethylammonium iodide,CCN.I,-0.3307484184390755,0.1234196427740078,-0.3307484184390755,1.0,5.733667477162185,0.0,1,0,1,172.997,26.02,1,1,0,0,0.5830000000000002,0,0,1.0
Guanidinium iodide,C(=N)(N)N.I,-0.3703335316561106,0.2083051993098358,-0.3703335316561106,0.8,11.46733495432437,0.0,3,0,1,186.984,75.89,3,1,0,0,-0.5434300000000001,0,0,0.0
4-Fluoro-phenethylammonium iodide,C1=CC(=CC=C1CCN)F.I,-0.3301426070886499,0.1116540828744675,-0.3301426070886499,0.9090909090909092,5.733667477162185,0.0,1,0,1,267.085,26.02,1,1,2,0,1.9449,1,0,0.25
2-Fluoro-phenethylammonium iodide,C1=CC=C(C(=C1)CC[NH3+])F.[I-],-1.0,0.299573623747023,-0.3572835430058163,0.7272727272727273,29.710307602424244,0.0,1,0,1,267.085,27.64,1,0,2,0,-2.3858999999999986,1,0,0.25
Benzylammonium iodide,C1=CC=C(C=C1)CN.I,-0.3264975066178272,0.0912832823517529,-0.3264975066178272,0.8888888888888888,5.733667477162185,0.0,1,0,1,235.068,26.02,1,1,1,0,1.7633,1,0,0.1428571428571428
Octylammonium iodide,CCCCCCCC[NH3+].[I-],-1.0,0.2983606957012175,-0.357560864886929,0.9,29.710307602424244,0.0,1,0,1,257.159,27.64,1,0,6,0,-1.407199999999996,0,0,1.0
"(E,E)-1-[5-(1,3-benzodioxol-5-yl)-1-oxo-2,4-pentadienyl]-piperidine",C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3,-0.4535950776302087,0.186997902141262,-0.4535950776302087,0.6666666666666666,14.373635638450576,0.0,0,1,1,285.3430000000001,38.77,0,3,3,0,2.997200000000001,3,2,0.3529411764705882
guanidine sulfate,C(=N)(N)N.C(=N)(N)N.OS(=O)(=O)O,-0.3703335316561106,0.2425074577640114,-0.3703335316561106,0.7692307692307693,22.93466990864874,10.399000581649606,6,0,1,216.22300000000004,226.38,8,4,0,0,-2.9756599999999995,0,0,0.0
"2,2,6,6-tetramethyl-1-piperidinyloxy",CC1(CCCC(N1[O])(C)C)C,-0.1439122943190925,0.0536212040081489,-0.1439122943190925,0.8181818181818182,0.0,0.0,1,0,1,156.249,23.14,0,1,0,0,2.375000000000001,1,1,1.0
ethylammonium,CCN.[N+](=O)(O)[O-],-0.3307484184390755,0.1957527234393954,-0.3307484184390755,0.8571428571428571,10.940920501939477,0.0,2,0,1,108.09699999999998,89.39,2,3,0,0,-0.3826999999999995,0,0,1.0
imidazolium,C1=C[NH+]=CN1,-0.2503460668537822,0.2070369753432923,-0.2503460668537822,0.4,0.0,0.0,0,0,0,69.08699999999999,29.93,1,0,0,1,-0.1711999999999999,1,1,0.0
guanidinium iodide,C(=N)(N)N.I,-0.3703335316561106,0.2083051993098358,-0.3703335316561106,0.8,11.46733495432437,0.0,3,0,1,186.984,75.89,3,1,0,0,-0.5434300000000001,0,0,0.0
acrylamide monomer,C=CC(=O)N,-0.3661333301605154,0.2120219684042852,-0.3661333301605154,0.8,5.733667477162185,0.0,0,1,1,71.07900000000001,43.09,1,1,1,0,-0.3423,0,0,0.0
