Compound_CID,SMILES
115561182,C1CC2CN(CC2C1)C3=C(C=C(C=N3)C(=O)O)N
44120699,C1=CC=[N+](C(=C1)N)CC(=O)C2=CC=C(C=C2)[N+](=O)[O-].[Cl-]
137652,C1=C(C=C(N=C1Cl)Cl)N
89546765,CC(C)(C)OC(=O)N1C=C(C=N1)C2=NC=CC(=C2)N
818256,C1=CC(=O)NC=C1N
353714,C1=CC(=C[N+](=C1)N)C(=O)N.[Cl-]
149661154,C1CC(CCC1C2=C(C=CN=C2)N)N3CC(C3)NC(=O)CNC(=O)C4=CC=CC=C4C(F)(F)F
67180839,C1=CC(=CC=C1C#N)C2=C3C(=NC=C2)N=C(N3)C4=CN=C(C=C4)N
177013984,CCCCOC.C1=CC(=NC=C1O)N
11173251,CC(C)N(C(C)C)C(=S)SC1=C(N=CC=C1)N
73437955,C1CN(CCN1)C2=C(C=C(C=C2)N3C4=C5C(=NC=C4C(=O)N(C3=O)CO)C=CC(=N5)C6=CN=C(C=C6)N)C(F)(F)F
177962456,CCOC(=O)C1CCN(CC1)CCCCCCCCCCCCNC(=O)C2=C(N=CC=C2)N
67131286,C1=CN=CC(=C1N)O.OS(=O)(=O)O
158922253,C1=CC(=C(C=C1OC2=C(C(=C(C=C2)C(F)(F)F)F)C(=O)NC3=CC(=NC=C3)C(=O)N)F)OC(F)(F)F.C1=CC(=C(C=C1OC2=C(C(=C(C=C2)C(F)(F)F)F)C(=O)Cl)F)OC(F)(F)F.C1=CN=C(C=C1N)C(=O)N
107315232,C1=CC=C(C(=C1)[C@H](C(=O)O)NC(=O)C2=NC=C(C=C2)N)Cl
69820392,CCC(=O)NC1=C(C=CC=C1S(=O)(=O)N[C@@H](CCCC2=NC=C(C=C2)N)C(=O)N3CCC(=C(F)F)CC3)C4=CC(=CC=C4)F.Cl
147624470,C1[C@@H]2[C@@H](C2CCNC(=O)/C=C/C3=CN=C(C=C3)N)CN1C(=O)NC4=CC=CC=C4
4592072,C1=C[N+](=CC=C1N)CCCS(=O)(=O)O
54860741,C1CCC2CN(CCC2C1)C3=C(C=C(C=N3)N)C#N
17978561,C1C(OC2=C(C1=O)C=C(C=C2)OC3=NC=C(C=C3)N)C4=CC=CC=C4
18689974,CC(C)(C)OC(=O)N1CCC(CC1)CNC(=O)C2=C(N=CC=C2)N
22903494,C1CC(=O)C2=C(C=CC(=C2)Cl)N(C1)C(=O)C3=CN=C(C=C3)N
69487502,CC1=CC(=C2C=C(C=CC2=N1)OC(=O)NC3=CC=C(C=C3)NC(=O)C4=CN=C(C=C4)N)N
104741680,COC(=O)CCN(CC(F)(F)F)C(=O)C1=C(C=CC=N1)N
170900645,C[C@@H](CO)NC(C)C1=C(N=CC=C1)N
57690598,C1=CC=C(C=C1)[C@@H](CNC2=NC(=C(C=C2)C(F)(F)F)C(=O)C3=C(N=CC=C3)N)O
28623944,CC1=CC(=NN1C(=O)C[N+]2=CC=CC(=C2)N)C
16795291,C1=CC=C2C(=C1)N=CN2C3=C(C=CC=N3)N
81315705,C1COC(CN1C(=O)C2=NC=C(C=C2)N)C#N
177710472,C1=CC(=C(N=C1)N)O.Cl.Cl.Cl.Cl
3895814,COC(=O)CCC(=O)C[N+]1=CC=C(C=C1)N
91466169,CC(C)(C)OC(=O)NC1=CC(=C(C=C1F)Cl)OC2=NC=C(C=C2)N
91782580,C1CN(CC2=C1N=C(N2)C3=CC=C(C=C3)C(=O)N)C(=O)C4=CN=C(C=C4)N
58345064,C1=CC=C(C=C1)C(=O)NCC2=CC=C(C=C2)N3C4=C(C=C(C=N4)C5=CC=C(C=C5)CO)N=C3C6=C(N=CC=C6)N
145834957,CC(CF)(CF)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=C[NH+]=C(C=C3)N
104742843,CC(=O)NC1CCN(CC1)C(=O)C2=C(C=CC=N2)N
176268100,C1=CC=C(C=C1)C2=NC3=C(C=C2)N=C(N3C4=CC(=C(C=C4)CNC(=O)C5=CC=CC(=C5)CC(=O)O)F)C6=C(N=CC=C6)N
24746459,CC1=C(C=CC(=C1)C(=O)O)C2=[N+](C=CC(=C2N)C(=O)C3=C(C=C(C=C3)F)F)[O-]
68290582,C1CN(CCC1C(=O)N2CCC3(CC2)CCN(C3=O)C4=CC=C(C=C4)C(F)(F)F)CC5=CC(=NC=C5)N
67235042,CC(=C)C1=C(C=CC(=C1)OC2=NC=C(C=C2)N)C#N
67972455,C1=CC=C2C(=C1)C=C(O2)S(=O)(=O)NC3=C(C=CC(=C3)Cl)S(=O)(=O)CC4=NC(=CC=C4)N
72216770,CC(=O)C1=CC(=CC(=N1)CC(=O)O)N
159457142,C[CH2-].CCC(=O)C1=CN=C(C=C1)NC(=O)C2=C(C=CC=C2F)F.CC1=C(N=C(S1)C2=CN=CC=C2)C3=CN=C(C=C3)NC(=O)C4=C(C=CC=C4F)F.CN(C(=O)C1=CN=C(C=C1)NC(=O)C2=C(C=CC=C2F)F)OC.COC(=O)C1=CN=C(C=C1)N.COC(=O)C1=CN=C(C=C1)NC(=O)C2=C(C=CC=C2F)F.C1=CC(=C(C(=C1)F)C(=O)Cl)F.[Mg+2].[Br-]
90093760,CC(CO)N1C=C(C2=CN=CC(=C21)F)C(=O)C3=CC(=CN=C3)N
121014085,CN(C(C(=O)OC)C(=O)OC)C(=O)C1=C(C=CC=N1)N
88586442,CN(C(=C)S/C(=N\N)/C1=CN=CC=C1)C(=O)CCOC
156122329,C1=CC=C(C(=C1)CNC(=O)C2=CNC(=C2)C(=N)C3=C(N=CC=C3)N)C(F)(F)F
82546285,COC(=O)C1=CC(=CC=C1)NC(=O)C2=C(N=CC=C2)N
12695760,COC1=CC=CC(=C1)NC2=CC=CC=N2
91777591,CC(C1=NN2CCN(CC2=C1)CC3=C(N=CC=C3)N)O
130311532,CC(C)(CNC(=O)C1=CN=C(C=C1)N)CNC(=O)C(=O)NC2=CC(=CC=C2)F
693282,C1=CN=C(C=C1Br)N
157401451,CC(C)(C)OC(=O)N1C2CCC1CN(C2)C(=O)C3=CN=C(C=C3)N.CC(C)(C)OC(=O)N1C2CCC1CN(C2)C(=O)C3=CN=C(C=C3)NC4=NC=C5C=C(N(C5=N4)[C@@H]6C[C@H]7CC[C@@H]6C7)C(=O)N(C)C.CN(C)C(=O)C1=CC2=CN=C(N=C2N1[C@@H]3C[C@H]4CC[C@@H]3C4)Cl
24853950,C1=CC(=C(N=C1)NC(=O)C2=CC=C(C=C2)C(F)(F)F)N
135871083,COC1=C(C=CC2=C3NCCN3C(=NC(=O)C4=CN=C(C=C4)N)N=C21)OCCCN5CCOCC5
91842659,C1CN(CCC1C(=O)N)C(=O)C2=CC=CC(=C2)C3=C(N=CC=C3)N
157316664,CCOC(=O)C(C)(C)OC1=CN=C(C=C1)N.CCOC(=O)C(C)(C)Br.C1=CC(=NC=C1O)N
81317188,COC(=O)CCNC(=O)C1=NC=C(C=C1)N
161341349,CC(C)(C)OC(=O)N[C@H](CC#C)C1=NC2=C(C(=O)N1NC3=CC=CC=C3)N=CC=C2.CC(C)(C)OC(=O)N[C@H](CC#C)C(=O)O.C#CC[C@H](C1=NC2=C(C(=O)N1NC3=CC=CC=C3)N=CC=C2)N.C#CC[C@H](C1=NC2=C(C(=O)N1NC3=CC=CC=C3)N=CC=C2)NCCCNC(=O)OCC4=CC=CC=C4.C#CC[C@H](C1=NC2=C(C(=O)N1NC3=CC=CC=C3)N=CC=C2)N(CCCN)C(=O)C4=C(C(=CC=C4)Cl)F.C#CC[C@H](C1=NC2=C(C(=O)N1NC3=CC=CC=C3)N=CC=C2)N(CCCNC(=O)OCC4=CC=CC=C4)C(=O)C5=C(C(=CC=C5)Cl)F.C1=CC=C(C=C1)COC(=O)NCCC=O.C1=CC(=C(C(=C1)Cl)F)C(=O)Cl.C1=CC(=C(N=C1)C(=O)O)N
63154420,CCCCCCCCOC(=O)C1=CC(=CN=C1)N
44120454,C1CN(C2=CC=CC=C21)C(=O)C[N+]3=CC=CC=C3N.[Cl-]
11695458,CCCN(CCO)CC(=O)NC1=NC(=C(C(=C1)N)C#N)OCC
10428711,CC1=CC(=O)NN=C1N2C=C(C(=N2)C3=CC=C(C=C3)F)C4=CC(=NC=C4)N
