name,SMILES
cetyltrimethylammonium chloride,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-]
1H-Pyrazole-1-carboximidamide hydrochloride,C1=CN(N=C1)C(=N)N.Cl
4-sulfamoylbenzoic acid,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N
(3-bromopropyl)trimethoxysilane,CO[Si](CCCBr)(OC)OC
"2,2,6,6-tetramethyl-1-piperidinyloxy",CC1(CCCC(N1[O])(C)C)C
1‐hexyl‐3‐methylimidazolium iodide,CCCCCCN1C=C[N+](=C1)C.[I-]
methacrylic acid,CC(=C)C(=O)O
d-tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@H](C(=O)O)N
4-hydroxypicolinic acid,C1=CNC(=CC1=O)C(=O)O
diphenyl carbonate,C1=CC=C(C=C1)OC(=O)OC2=CC=CC=C2
3-(2-amino-2-oxoethyl)-1-methyl-1H-imidazol-3-ium chloride,C[N+]1=CN(C=C1)CC(=O)N.[Cl-]
N-methyl pyrrolidone,CN1CCCC1=O
prolinamide,C1C[C@H](NC1)C(=O)N
Naphthylmethylammonium Iodide,CNC1=CC=CC2=CC=CC=C21.I
2-(furan-3-yl)ethanamine hydrochloride,C1=COC=C1CCN.Cl
"2,6-pyridine dicarboxylate",C1=CC(=NC(=C1)C(=O)[O-])C(=O)[O-]
n-Butylammonium iodide,CCCCN.I
Cyclohexylmethylammonium iodide,C1CCC(CC1)C[NH3+].[I-]
Ethylammonium iodide,CCN.I
Guanidinium iodide,C(=N)(N)N.I
4-Fluoro-phenethylammonium iodide,C1=CC(=CC=C1CCN)F.I
2-Fluoro-phenethylammonium iodide,C1=CC=C(C(=C1)CC[NH3+])F.[I-]
Benzylammonium iodide,C1=CC=C(C=C1)CN.I
Octylammonium iodide,CCCCCCCC[NH3+].[I-]
selenophene,C1=C[Se]C=C1
"(E,E)-1-[5-(1,3-benzodioxol-5-yl)-1-oxo-2,4-pentadienyl]-piperidine",C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3
guanidine sulfate,C(=N)(N)N.C(=N)(N)N.OS(=O)(=O)O
"2,2,6,6-tetramethyl-1-piperidinyloxy",CC1(CCCC(N1[O])(C)C)C
ethylammonium,CCN.[N+](=O)(O)[O-]
imidazolium,C1=C[NH+]=CN1
guanidinium iodide,C(=N)(N)N.I
acrylamide monomer,C=CC(=O)N
tetraoctylammonium chloride,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Cl-]
"naphthalene-1,8-dicarboximide",C1=CC2=C3C(=C1)C(=O)NC(=O)C3=CC=C2
"perylene-3,4-dicarboximide",C1=CC2=C3C(=C1)C4=C5C(=CC=C6C5=C(C=C4)C(=O)NC6=O)C3=CC=C2
Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C
2-aminoethylphosphonic acid,C(CP(=O)(O)O)N
hypotaurine,C(CS(=O)O)N
β-alanine(beta-alanine),C(CN)C(=O)O
2-hydroxy-4-methoxybenzophenone,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O
Indigo dye ,C1=CC=C2C(=C1)C(=C(N2)C3=NC4=CC=CC=C4C3=O)O
