N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,coord_types,MolecularWeight,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,LogP,RingCount,HeteroRing,FSP3,delta_PCE
-0.330914819,0.80952381,16.89006402,0,1,1,320.005,0,0,15,3.1779,0,0,1,3.1
-0.368236553,0.666666667,5.733667477,0,4,1,146.581,2,2,0,0.04647,1,1,0,1.5
-0.477639243,0.692307692,5.106527395,5.969305288,0,1,201.203,2,3,2,0.0322,1,0,0,1.37
-0.376825097,0.454545455,13.27801508,8.804435157,0,0,243.173,0,3,6,1.6495,0,0,1,4.21
-0.143912294,0.818181818,0,0,1,1,156.249,0,1,0,2.375,1,1,1,1.51
-0.239533996,0.615384615,23.97664013,0,2,1,294.18,0,0,5,-1.1031,1,1,0.7,3.5
-0.477896962,0.666666667,5.106527395,5.969305288,0,1,86.09,1,1,1,0.6471,0,0,0.25,1.92
-0.480077692,0.6,15.82417339,5.969305288,1,2,204.229,3,2,3,1.1223,2,1,0.181818182,3.37
-0.476565587,0.4,10.09050592,5.969305288,0,1,139.11,2,2,1,0.0731,1,1,0,1.37
-0.394718845,0.8125,9.473725908,6.15536563,0,1,214.22,0,3,2,3.2644,2,0,0,2.96
-0.366250773,0.454545455,18.14070064,0,2,2,175.619,1,1,2,-4.1981,1,1,0.333333333,2.38
-0.345748915,0.428571429,4.899909731,0,0,1,99.133,0,1,0,0.2386,1,1,0.8,1.76
-0.368318726,0.75,11.05045608,0,1,2,114.148,2,2,1,-0.7763,1,1,0.8,1.94
-0.387619805,0.769230769,5.316788604,0,1,1,285.128,1,1,1,3.4995,2,0,0.090909091,3.41
-0.472337977,0.777777778,10.15081841,0,1,1,147.605,1,2,2,1.2026,1,1,0.333333333,2.37
-0.543118307,0.666666667,19.80212916,0,1,2,165.104,0,5,2,-2.1914,1,1,0,1.22
-0.330473681,1,5.733667477,0,1,1,201.051,1,1,2,1.3632,0,0,1,1.06
-0.357331195,0.777777778,29.7103076,0,1,1,241.116,1,0,1,-2.1874,1,0,1,1.09
-0.330748418,1,5.733667477,0,1,1,172.997,1,1,0,0.583,0,0,1,1.3
-0.370333532,0.8,11.46733495,0,3,1,186.984,3,1,0,-0.54343,0,0,0,-1.07
-0.330142607,0.909090909,5.733667477,0,1,1,267.085,1,1,2,1.9449,1,0,0.25,1.7
-0.357283543,0.727272727,29.7103076,0,1,1,267.085,1,0,2,-2.3859,1,0,0.25,1.09
-0.326497507,0.888888889,5.733667477,0,1,1,235.068,1,1,1,1.7633,1,0,0.142857143,0.91
-0.357560865,0.9,29.7103076,0,1,1,257.159,1,0,6,-1.4072,0,0,1,0.12
-0.453595078,0.666666667,14.37363564,0,0,1,285.343,0,3,3,2.9972,3,2,0.352941176,1.88
-0.370333532,0.769230769,22.93466991,10.39900058,6,1,216.223,8,4,0,-2.97566,0,0,0,1.19
-0.143912294,0.818181818,0,0,1,1,156.249,0,1,0,2.375,1,1,1,1.51
-0.330748418,0.857142857,10.9409205,0,2,1,108.097,2,3,0,-0.3827,0,0,1,1.8
-0.250346067,0.4,0,0,0,0,69.087,1,0,0,-0.1712,1,1,0,1.6
-0.370333532,0.8,11.46733495,0,3,1,186.984,3,1,0,-0.54343,0,0,0,0.5
-0.36613333,0.8,5.733667477,0,0,1,71.079,1,1,1,-0.3423,0,0,0,2.62
-0.323609081,0.882352941,16.89006402,0,1,1,502.356,0,0,28,8.2492,0,0,1,1.66
-0.288141687,0.666666667,0,0,0,1,197.193,1,2,0,1.7234,3,1,0,2.6
-0.288141672,0.8,0,0,0,1,321.335,1,2,0,4.6208,6,1,0,0.4
-0.338721321,0.461538462,4.983978521,5.689743398,3,1,180.167,1,3,0,-1.0397,2,2,0.285714286,2.25
