name,SMILES,MinPartialCharge,MaxAbsPartialCharge,StdPartialCharge,ChargeRange,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,FormalCharge,Complexity,LogP,MolarRefractivity,RingCount,AromaticRing,HeteroRing,FSP3,delta_PCE
cetyltrimethylammonium chloride,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],-1,1,0.219787902,1.077992828,-0.330914819,0.80952381,16.89006402,0,1,0,1,320.005,0,0,0,15,21,0,174.9675568,3.1779,93.2114,0,0,0,1,3.1
1H-Pyrazole-1-carboximidamide hydrochloride,C1=CN(N=C1)C(=N)N.Cl,-0.368236553,0.368236553,0.17116079,0.581331283,-0.368236553,0.666666667,5.733667477,0,4,0,1,146.581,67.69,2,2,0,9,0,167.9281971,0.04647,36.7871,1,1,1,0,1.5
4-sulfamoylbenzoic acid,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N,-0.477639243,0.477639243,0.207493616,0.812818888,-0.477639243,0.692307692,5.106527395,5.969305288,0,1,1,201.203,97.46,2,3,2,13,0,399.8564619,0.0322,44.7745,1,1,0,0,1.37
(3-bromopropyl)trimethoxysilane,CO[Si](CCCBr)(OC)OC,-0.376825097,0.499668387,0.242863189,0.876493484,-0.376825097,0.454545455,13.27801508,8.804435157,0,0,0,243.173,27.69,0,3,6,11,0,71.77443751,1.6495,49.999,0,0,0,1,4.21
"2,2,6,6-tetramethyl-1-piperidinyloxy",CC1(CCCC(N1[O])(C)C)C,-0.143912294,0.143912294,0.053621204,0.188235987,-0.143912294,0.818181818,0,0,1,0,1,156.249,23.14,0,1,0,11,0,126.1173001,2.375,44.5345,1,0,1,1,1.51
1‐hexyl‐3‐methylimidazolium iodide,CCCCCCN1C=C[N+](=C1)C.[I-],-1,1,0.297285481,1.243028826,-0.239533996,0.615384615,23.97664013,0,2,0,1,294.18,8.81,0,0,5,13,0,207.5678161,-1.1031,49.75,1,1,1,0.7,3.5
methacrylic acid,CC(=C)C(=O)O,-0.477896962,0.477896962,0.247664918,0.808060345,-0.477896962,0.666666667,5.106527395,5.969305288,0,1,1,86.09,37.3,1,1,1,6,0,66.03910002,0.6471,22.4498,0,0,0,0.25,1.92
d-tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@H](C(=O)O)N,-0.480077692,0.480077692,0.193748883,0.800394613,-0.480077692,0.6,15.82417339,5.969305288,1,1,2,204.229,79.11,3,2,3,15,0,473.4988968,1.1223,57.6139,2,2,1,0.181818182,3.37
4-hydroxypicolinic acid,C1=CNC(=CC1=O)C(=O)O,-0.476565587,0.476565587,0.249922658,0.828500817,-0.476565587,0.4,10.09050592,5.969305288,0,1,1,139.11,70.16,2,2,1,10,0,288.906662,0.0731,34.022,1,1,1,0,1.37
diphenyl carbonate,C1=CC=C(C=C1)OC(=O)OC2=CC=CC=C2,-0.394718845,0.518924331,0.202342577,0.913643176,-0.394718845,0.8125,9.473725908,6.15536563,0,1,1,214.22,35.53,0,3,2,16,0,396.479231,3.2644,59.536,2,2,0,0,2.96
3-(2-amino-2-oxoethyl)-1-methyl-1H-imidazol-3-ium chloride,C[N+]1=CN(C=C1)CC(=O)N.[Cl-],-1,1,0.356984944,1.259183856,-0.366250773,0.454545455,18.14070064,0,2,1,2,175.619,51.9,1,1,2,11,0,227.9412787,-4.1981,34.8024,1,1,1,0.333333333,2.38
N-methyl pyrrolidone,CN1CCCC1=O,-0.345748915,0.345748915,0.180117618,0.567622478,-0.345748915,0.428571429,4.899909731,0,0,1,1,99.133,20.31,0,1,0,7,0,82.03910002,0.2386,26.871,1,0,1,0.8,1.76
prolinamide,C1C[C@H](NC1)C(=O)N,-0.368318726,0.368318726,0.196137593,0.602376704,-0.368318726,0.75,11.05045608,0,1,1,2,114.148,55.12,2,2,1,8,0,86.21143267,-0.7763,30.2191,1,0,1,0.8,1.94
Naphthylmethylammonium Iodide,CNC1=CC=CC2=CC=CC=C21.I,-0.387619805,0.387619805,0.100128837,0.42929668,-0.387619805,0.769230769,5.316788604,0,1,0,1,285.128,12.03,1,1,1,13,0,382.6653728,3.4995,68.9097,2,2,0,0.090909091,3.41
2-(furan-3-yl)ethanamine hydrochloride,C1=COC=C1CCN.Cl,-0.472337977,0.472337977,0.182040334,0.56578483,-0.472337977,0.777777778,10.15081841,0,1,0,1,147.605,39.16,1,2,2,9,0,125.7583561,1.2026,38.7144,1,1,1,0.333333333,2.37
"2,6-pyridine dicarboxylate",C1=CC(=NC(=C1)C(=O)[O-])C(=O)[O-],-0.543118307,0.543118307,0.270280992,0.63308808,-0.543118307,0.666666667,19.80212916,0,1,2,2,165.104,93.15,0,5,2,12,-2,289.3151247,-2.1914,32.898,1,1,1,0,1.22
n-Butylammonium iodide,CCCCN.I,-0.330473681,0.330473681,0.106747095,0.322736039,-0.330473681,1,5.733667477,0,1,0,1,201.051,26.02,1,1,2,6,0,7.509775004,1.3632,39.3774,0,0,0,1,1.06
Cyclohexylmethylammonium iodide,C1CCC(CC1)C[NH3+].[I-],-1,1,0.314261045,1.076789194,-0.357331195,0.777777778,29.7103076,0,1,0,1,241.116,27.64,1,0,1,9,0,51.05865003,-2.1874,34.3301,1,0,0,1,1.09
Ethylammonium iodide,CCN.I,-0.330748418,0.330748418,0.123419643,0.320172153,-0.330748418,1,5.733667477,0,1,0,1,172.997,26.02,1,1,0,4,0,0,0.583,30.1434,0,0,0,1,1.3
Guanidinium iodide,C(=N)(N)N.I,-0.370333532,0.370333532,0.208305199,0.552861534,-0.370333532,0.8,11.46733495,0,3,0,1,186.984,75.89,3,1,0,5,0,23.01955001,-0.54343,31.5165,0,0,0,0,-1.07
4-Fluoro-phenethylammonium iodide,C1=CC(=CC=C1CCN)F.I,-0.330142607,0.330142607,0.111654083,0.452869836,-0.330142607,0.909090909,5.733667477,0,1,0,1,267.085,26.02,1,1,2,11,0,183.6982132,1.9449,54.5734,1,1,0,0.25,1.7
