Dipole_Debye,Polarizability_au,HOMO_eV,LUMO_eV,Gap_eV,Molecule
30.293,,-5.347,-3.526,1.820993848518,Mol_0
10.932,,-12.6778,-12.5469,0.130858440524,Mol_1
,,-10.2073,-9.6683,,Mol_10
4.144,,-11.5755,-7.7106,3.864841193508,Mol_100
5.192,,-10.0119,-6.638,3.373914551816,Mol_101
0.894,,-10.1039,-7.0185,3.085397806536,Mol_102
3.722,,-9.7644,-7.7193,2.04515980004,Mol_103
5.649,,-10.6703,-0.8318,9.838545567866,Mol_104
3.319,,-10.0167,-6.2001,3.816582726958,Mol_105
5.398,,-12.3754,-7.7625,4.612940106259,Mol_106
8.286,,-9.9867,-6.4647,3.521940315001,Mol_107
3.036,,-9.8941,0.2405,10.134589846394,Mol_108
2.595,,-11.1858,-4.1552,7.03066519722,Mol_109
4.99,,-10.4258,-5.786,4.639849281472,Mol_11
6.334,,-10.5338,-3.5532,6.980601473342,Mol_110
0.0,,-11.8751,-8.904,2.971158448789,Mol_111
18.311,,-10.8954,-8.0837,2.811650799486,Mol_112
6.364,,-10.5666,-7.4975,3.069127100448,Mol_113
2.151,,-12.8548,-10.4435,2.411236071054,Mol_114
2.61,,-11.5474,-6.7213,4.826125841352,Mol_115
0.0,,-12.9333,-9.496,3.437238858104,Mol_116
1.246,,-10.1625,-6.2632,3.899279132041,Mol_117
0.0,,-12.0857,-7.3797,4.705977001883,Mol_118
0.0,,-12.241,-8.952,3.289004289195,Mol_119
4.684,,-9.9449,-5.9446,4.000262327109,Mol_12
0.0,,-10.3513,-8.574,1.777290706967,Mol_120
22.788,,-10.4262,-5.5532,4.872992910743,Mol_121
3.934,,-12.3289,-8.8678,3.461039533408,Mol_122
5.968,,-10.0976,-7.4384,2.659175508997,Mol_123
6.514,,-2.5398,-0.7668,1.772955077699,Mol_124
,,-9.6467,-9.4555,,Mol_125
,,-3.0718,-2.1974,,Mol_126
6.115,,-11.6358,-8.4532,3.182596253946,Mol_127
6.287,,-9.5683,-7.0197,2.548586653178,Mol_128
3.962,,-10.1741,-7.1643,3.009814800162,Mol_129
10.458,,-6.4056,-5.446,0.959576835785,Mol_13
5.524,,-9.7669,-6.8207,2.946178221099,Mol_130
2.294,,-12.9299,-9.7171,3.212741997223,Mol_131
2.151,,-12.8548,-10.4435,2.411236071054,Mol_132
5.474,,-10.9609,-7.5449,3.415970909272,Mol_133
4.167,,-10.981,-6.4403,4.540750294201,Mol_134
4.24,,-10.2733,-7.3682,2.905063135399,Mol_135
7.568,,-10.2549,-7.0139,3.241051312551,Mol_136
3.161,,-10.0128,-5.4348,4.578011280345,Mol_137
1.626,,-9.7131,-6.5815,3.131620745877,Mol_138
4.743,,-11.5356,-8.5214,3.014228783849,Mol_139
10.349,,-13.4157,-13.3185,0.097232324096,Mol_14
4.806,,-10.1748,-5.4189,4.755895891386,Mol_140
4.542,,-10.2195,-6.5943,3.625224671574,Mol_141
1.576,,-10.3486,-8.0858,2.262754221388,Mol_142
1.996,,-10.3652,-10.2014,0.163887600625,Mol_143
4.86,,-11.6776,-7.1735,4.504151370592,Mol_144
4.262,,-9.718,-9.6569,0.061082705171,Mol_145
4.843,,-11.6027,-8.7496,2.853033677141,Mol_146
1.22,,-9.7508,-6.5955,3.155332440241,Mol_147
5.234,,-10.1649,-6.4976,3.66727830094,Mol_148
4.644,,-10.3063,-4.946,5.360294425022,Mol_149
10.274,,-12.4452,-12.3771,0.068103553533,Mol_15
5.394,,-10.956,-7.2375,3.718527879712,Mol_150
4.142,,-2.3291,-2.0485,0.28061915666,Mol_151
2.989,,-11.7266,-1.8815,9.845127876154,Mol_152
9.493,,-11.3925,-8.8128,2.579717587909,Mol_153
1.304,,-11.2885,-7.9559,3.332646493665,Mol_154
2.103,,-10.4912,-8.1469,2.344311147655,Mol_155
14.587,,-11.1139,-9.3606,1.753322366416,Mol_156
6.31,,-12.0248,-8.3807,3.64414314839,Mol_157
7.336,,-11.4197,-7.1261,4.293601620458,Mol_158
4.073,,-11.1707,-6.9178,4.252870290494,Mol_159
7.933,,2.0041,2.4979,0.493792879877,Mol_16
2.73,,-10.9259,-5.5845,5.34142620828,Mol_160
2.187,,-11.6906,-6.6087,5.081945093742,Mol_161
2.411,,-10.1203,-6.9653,3.1549486728,Mol_162
3.552,,-9.8544,-7.4982,2.356269207443,Mol_163
2.11,,-9.7889,-7.479,2.309876219138,Mol_164
6.647,,-9.835,-9.0237,0.811274268308,Mol_165
1.808,,-10.438,-6.8652,3.572790888376,Mol_166
1.876,,-11.2099,-7.819,3.390887818586,Mol_167
2.146,,-11.4873,-7.8145,3.672823454347,Mol_168
2.079,,-10.2495,-6.6774,3.572140024328,Mol_169
,,-54.5829,-40.7341,,Mol_17
4.361,,-10.1086,-5.2975,4.811127188849,Mol_170
0.0,,-10.7569,-9.4694,1.287467543894,Mol_171
6.892,,-10.575,-7.6432,2.931841499368,Mol_172
4.535,,-10.9039,-9.4351,1.468823518074,Mol_173
4.587,,-9.9317,-6.3135,3.618147877181,Mol_174
5.432,,-9.7052,-8.0453,1.659901111306,Mol_175
4.259,,-10.939,-7.8957,3.043328248725,Mol_176
6.768,,-10.1678,-7.2529,2.91486542823,Mol_177
4.167,,-10.981,-6.4403,4.540750294201,Mol_178
4.24,,-10.2733,-7.3682,2.905063135399,Mol_179
11.673,,-0.6306,5.0303,5.660855006012,Mol_18
5.782,,-9.7861,-7.8899,1.896270680019,Mol_180
4.939,,-10.8067,-8.0585,2.748205326457,Mol_181
4.508,,-10.7119,-7.7262,2.98571765996,Mol_182
7.47,,-10.3469,-6.5873,3.759556948837,Mol_183
4.731,,-11.4268,-3.9432,7.483638929422,Mol_184
4.394,,-10.4771,-7.1952,3.281879383527,Mol_185
1.505,,-10.1498,-7.3026,2.847135413123,Mol_186
7.369,,-11.3768,-8.0736,3.303135633709,Mol_187
10.338,,-11.5895,-10.1662,1.423299959001,Mol_188
15.163,,-9.8957,-8.1513,1.744457499133,Mol_189
13.343,,-1.9973,0.3244,2.321673103696,Mol_19
2.823,,-10.4764,-7.1497,3.326760365149,Mol_190
4.13,,-12.5914,-9.0846,3.506743130284,Mol_191
1.704,,-11.9095,-8.6439,3.26563564051,Mol_192
4.882,,-11.5834,-7.9644,3.618990603078,Mol_193
8.977,,-11.4858,-7.8926,3.593181196828,Mol_194
1.319,,-11.6236,-8.318,3.305513170331,Mol_195
4.843,,-11.6027,-8.7496,2.853033677141,Mol_196
1.677,,-10.4519,-6.9349,3.517061435913,Mol_197
3.163,,-11.4837,-7.1297,4.353983536045,Mol_198
2.62,,-11.9577,-8.7367,3.220914397152,Mol_199
4.239,,-11.5239,-8.2124,3.311504397088,Mol_2
,,-3.4155,-3.0725,,Mol_20
6.768,,-10.1678,-7.2529,2.91486542823,Mol_200
5.679,,-10.267,-6.9471,3.319922472392,Mol_201
4.527,,-10.9813,-6.2226,4.758754461635,Mol_202
2.083,,-10.3169,-6.8799,3.436965440376,Mol_203
18.55,,-3.5021,-2.2823,1.21983103015,Mol_21
6.514,,-2.5398,-0.7668,1.772955077699,Mol_22
13.699,,0.7553,1.7508,0.99552411293,Mol_23
2.681,,-10.033,-7.3419,2.69113360832,Mol_24
4.899,,-10.0805,-7.5918,2.488775179442,Mol_25
,,-300.7564,-263.3287,,Mol_26
5.009,,-9.7321,-2.2527,7.479444337054,Mol_27
5.57,,-3.5001,-2.0152,1.484906683101,Mol_28
0.3,,-4.4796,-4.3489,0.130659645526,Mol_29
6.814,,-11.0388,-5.809,5.229863794063,Mol_3
13.343,,-1.9973,0.3244,2.321673103696,Mol_30
4.645,,-10.7924,-7.1596,3.632838734439,Mol_31
6.464,,-11.0256,-8.6877,2.337830701816,Mol_33
10.457,,-10.1913,-8.7949,1.39636894933,Mol_34
4.293,,-10.7589,-7.3881,3.370856475434,Mol_35
4.723,,-10.6402,-7.2918,3.348468237462,Mol_36
5.542,,-10.711,-7.3728,3.338168127629,Mol_37
5.695,,-10.202,-2.1142,8.087816094301,Mol_38
1.786,,-10.1144,-5.5602,4.554125784799,Mol_39
5.009,,-9.7321,-2.2527,7.479444337054,Mol_4
1.492,,-10.0215,-6.6907,3.330815627088,Mol_40
6.193,,-10.6409,-7.895,2.745906412006,Mol_41
3.806,,-9.8963,-8.7487,1.147627408177,Mol_42
4.763,,-9.964,-6.7981,3.165946031642,Mol_43
5.456,,-11.2124,-2.0301,9.182245123273,Mol_44
2.566,,-10.344,0.2862,10.630246764376,Mol_45
2.423,,-10.6969,-0.4167,10.280193746449,Mol_46
6.511,,-10.9579,-9.1607,1.797206634007,Mol_47
1.951,,-11.2752,-9.1866,2.088547287724,Mol_48
4.818,,-12.1647,-8.5979,3.566738391375,Mol_49
11.79,,-2.9133,-2.4835,0.42979678503,Mol_5
3.557,,-10.1793,-7.1699,3.009358656419,Mol_50
1.518,,-10.356,-6.5053,3.850715325306,Mol_51
0.0,,-10.7407,1.7658,12.506446208841,Mol_52
1.366,,-9.7226,0.634,10.356609149895,Mol_53
3.265,,-11.5203,-7.8358,3.684467402049,Mol_54
4.49,,-10.4555,-6.9503,3.505273056711,Mol_55
2.423,,-10.9239,-6.6452,4.278711848054,Mol_56
1.896,,-10.6711,-6.5661,4.105028616654,Mol_57
1.592,,-11.8361,-7.4091,4.427017529159,Mol_58
5.674,,-10.9676,-6.9269,4.04068648959,Mol_59
2.161,,-11.3928,-7.6151,3.777687683145,Mol_6
7.458,,-11.693,-3.1932,8.499780055566,Mol_60
1.219,,-11.8984,-9.1614,2.73699609714,Mol_61
3.437,,-10.8353,-6.511,4.324298911558,Mol_62
8.065,,-9.5807,-7.2643,2.316472713014,Mol_63
1.739,,-9.7355,-0.0572,9.678285575706,Mol_64
2.182,,-11.4229,-8.0123,3.410636394347,Mol_65
4.798,,-10.8118,-6.2387,4.573060382054,Mol_66
4.386,,-10.1355,-6.4617,3.673857943259,Mol_67
4.595,,-9.8802,-6.3323,3.547837956853,Mol_68
2.226,,-10.3831,-7.2552,3.127896446003,Mol_69
5.524,,-9.7669,-6.8207,2.946178221099,Mol_7
4.767,,-9.8035,-8.2204,1.583081779749,Mol_70
1.695,,-10.6724,-7.2521,3.420304830205,Mol_71
