Dipole_Debye,Polarizability_au,HOMO_eV,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,coord_types,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,LogP,RingCount,HeteroRing,FSP3,delta_PCE
30.293,254.002294,-5.347,-0.330914819,0.80952381,16.89006402,0,1,1,0,0,15,3.1779,0,0,1,3.1
10.932,164.869173,-12.6778,-0.368236553,0.666666667,5.733667477,0,4,1,2,2,0,0.04647,1,1,0,1.5
4.239,124.824304,-11.5239,-0.477639243,0.692307692,5.106527395,5.969305288,0,1,2,3,2,0.0322,1,0,0,1.37
6.814,134.701657,-11.0388,-0.376825097,0.454545455,13.27801508,8.804435157,0,0,0,3,6,1.6495,0,0,1,4.21
5.009,115.686928,-9.7321,-0.143912294,0.818181818,0,0,1,1,0,1,0,2.375,1,1,1,1.51
11.79,166.959191,-2.9133,-0.239533996,0.615384615,23.97664013,0,2,1,0,0,5,-1.1031,1,1,0.7,3.5
2.161,57.110011,-11.3928,-0.477896962,0.666666667,5.106527395,5.969305288,0,1,1,1,1,0.6471,0,0,0.25,1.92
5.524,144.60278,-9.7669,-0.480077692,0.6,15.82417339,5.969305288,1,2,3,2,3,1.1223,2,1,0.181818182,3.37
5.709,85.622631,-10.4267,-0.476565587,0.4,10.09050592,5.969305288,0,1,2,2,1,0.0731,1,1,0,1.37
0.233,152.933891,-11.2707,-0.394718845,0.8125,9.473725908,6.15536563,0,1,0,3,2,3.2644,2,0,0,2.96
4.5385,111.461217,-9.2291,-0.366250773,0.454545455,18.14070064,0,2,2,1,1,2,-4.1981,1,1,0.333333333,2.38
4.99,68.820457,-10.4258,-0.345748915,0.428571429,4.899909731,0,0,1,0,1,0,0.2386,1,1,0.8,1.76
4.684,78.081518,-9.9449,-0.368318726,0.75,11.05045608,0,1,2,2,2,1,-0.7763,1,1,0.8,1.94
10.459,184.319353,-6.4053,-0.387619805,0.769230769,5.316788604,0,1,1,1,1,1,3.4995,2,0,0.090909091,3.41
10.349,168.12194,-13.4157,-0.472337977,0.777777778,10.15081841,0,1,1,1,2,2,1.2026,1,1,0.333333333,2.37
10.274,94.330337,-12.4452,-0.543118307,0.666666667,19.80212916,0,1,2,0,5,2,-2.1914,1,1,0,1.22
7.933,148.068038,2.0041,-0.330473681,1,5.733667477,0,1,1,1,1,2,1.3632,0,0,1,1.06
4.5385,111.461217,-10.5967,-0.357331195,0.777777778,29.7103076,0,1,1,1,0,1,-2.1874,1,0,1,1.09
11.673,107.81915,-0.6306,-0.330748418,1,5.733667477,0,1,1,1,1,0,0.583,0,0,1,1.3
13.343,112.767855,-1.9973,-0.370333532,0.8,11.46733495,0,3,1,3,1,0,-0.54343,0,0,0,-1.07
4.5385,111.461217,-12.4799,-0.330142607,0.909090909,5.733667477,0,1,1,1,1,2,1.9449,1,0,0.25,1.7
18.55,127.155863,-3.5021,-0.357283543,0.727272727,29.7103076,0,1,1,1,0,2,-2.3859,1,0,0.25,1.09
6.514,111.320303,-2.5398,-0.326497507,0.888888889,5.733667477,0,1,1,1,1,1,1.7633,1,0,0.142857143,0.91
13.699,183.953726,0.7553,-0.357560865,0.9,29.7103076,0,1,1,1,0,6,-1.4072,0,0,1,0.12
4.899,204.215267,-10.0805,-0.453595078,0.666666667,14.37363564,0,0,1,0,3,3,2.9972,3,2,0.352941176,1.88
4.5385,111.461217,-376.9002,-0.370333532,0.769230769,22.93466991,10.39900058,6,1,8,4,0,-2.97566,0,0,0,1.19
5.009,115.686928,-9.7321,-0.143912294,0.818181818,0,0,1,1,0,1,0,2.375,1,1,1,1.51
5.57,162.416902,-3.5001,-0.330748418,0.857142857,10.9409205,0,2,1,2,3,0,-0.3827,0,0,1,1.8
0.3,52.439314,-4.4796,-0.250346067,0.4,0,0,0,0,1,0,0,-0.1712,1,1,0,1.6
13.343,112.767855,-1.9973,-0.370333532,0.8,11.46733495,0,3,1,3,1,0,-0.54343,0,0,0,0.5
4.645,49.906705,-10.7924,-0.36613333,0.8,5.733667477,0,0,1,1,1,1,-0.3423,0,0,0,2.62
6.464,138.076267,-11.0256,-0.288141687,0.666666667,0,0,0,1,1,2,0,1.7234,3,1,0,2.6
